trials,size,time
2200, 130000, 0.005504066999947099
2300, 130000, 0.0053837830000702525
2400, 130000, 0.005766729000242776
2500, 130000, 0.0057877229996847745
2600, 130000, 0.006098895999912202
2700, 130000, 0.006322598000224389
2800, 130000, 0.0065456849997644895
2900, 130000, 0.006755149999662535
3000, 130000, 0.007049579000067752
3100, 130000, 0.007300908999695821
3200, 130000, 0.007608185000208323
3300, 130000, 0.00788701300007233
3400, 130000, 0.007898097000179405
3500, 130000, 0.008091774000149599
3600, 130000, 0.008379329000035796
3700, 130000, 0.008615745999577484
3800, 130000, 0.008816235999802302
3900, 130000, 0.009344688000055612
4000, 130000, 0.009419623000212596
4100, 130000, 0.009506078999947931
4200, 130000, 0.009911290999752964
4300, 130000, 0.009867486000075587
4400, 130000, 0.010210294999978942
4500, 130000, 0.010377300000072864
4600, 130000, 0.010880498999995325
4700, 130000, 0.010906635000083043
4800, 130000, 0.0114066019996244
4900, 130000, 0.011762930000259075
5000, 130000, 0.01159714300001724
5100, 130000, 0.011746647000109078
5200, 130000, 0.013124638999670424
5300, 130000, 0.013664220999999088
5400, 130000, 0.013343772000098397
5500, 130000, 0.012861091000104352
5600, 130000, 0.013003966999804106
5700, 130000, 0.013201094000123703
5800, 130000, 0.013416725999832124
5900, 130000, 0.014423093000004883
6000, 130000, 0.014147807999961515
6100, 130000, 0.014303635000032955
6200, 130000, 0.014498473999992711
6300, 130000, 0.014849811000203772
6400, 130000, 0.0156751899999108
6500, 130000, 0.015285349999885511
6600, 130000, 0.015283995999652689
6700, 130000, 0.015972869999586692
6800, 130000, 0.016471477999857598
6900, 130000, 0.016865566999967996
7000, 130000, 0.016633432999697106
7100, 130000, 0.017149029999927734
7200, 130000, 0.017294411999955628
7300, 130000, 0.0171795490000477
7400, 130000, 0.0173662920001334
7500, 130000, 0.017791297999792732
7600, 130000, 0.018532363999838708
7700, 130000, 0.01817016799986959
7800, 130000, 0.01865468999994846
7900, 130000, 0.018559312999968824
8000, 130000, 0.01880926300009378
8100, 130000, 0.01907645399978719
8200, 130000, 0.020606214000054024
8300, 130000, 0.01993851099996391
8400, 130000, 0.019477197000014712
8500, 130000, 0.01967740000009144
8600, 130000, 0.019923380999898654
8700, 130000, 0.020187426999655145
8800, 130000, 0.021515175999866187
8900, 130000, 0.02245540100011567
9000, 130000, 0.022339264000038384
9100, 130000, 0.021795394999571727
9200, 130000, 0.021925897999608424
9300, 130000, 0.021697721999771602
9400, 130000, 0.023296629000014946
9500, 130000, 0.02274114100009683
9600, 130000, 0.02354159600008643
9700, 130000, 0.022813877999851684
9800, 130000, 0.023071062000326492
9900, 130000, 0.023623104999842326
1000, 140000, 0.002395094000348763
1100, 140000, 0.0025621610002417583
1200, 140000, 0.0027919780000047467
1300, 140000, 0.0031056019997777184
1400, 140000, 0.0034337089996370196
1500, 140000, 0.0035069519999524346
1600, 140000, 0.0037713970000368136
1700, 140000, 0.003935858999739139
1800, 140000, 0.0042451249996702245
1900, 140000, 0.0046465059999718505
2000, 140000, 0.004684275000272464
2100, 140000, 0.004826933999993344
2200, 140000, 0.005214973999954964
2300, 140000, 0.005322247000094649
2400, 140000, 0.005577867000283732
2500, 140000, 0.005841963999955624
2600, 140000, 0.006088868999995611
2700, 140000, 0.00625168999977177
2800, 140000, 0.006489086999863503
2900, 140000, 0.006727347999913036
3000, 140000, 0.007023722999747406
3100, 140000, 0.007234014000005118
3200, 140000, 0.007843247999971936
3300, 140000, 0.007698918000187405
3400, 140000, 0.00826446200017017
3500, 140000, 0.008077221999883477
3600, 140000, 0.00840293000010206
3700, 140000, 0.008526131000053283
3800, 140000, 0.00917480499992962
3900, 140000, 0.009221109999998589
4000, 140000, 0.009209560999806854
